likecount,commentcount,repostcount,total engagements,conversion,spend,impressions,face area percentage %,number of objects,primary object area percentage %,secondary object area percentage %,text length,logo 1 area percentage %,logo 2 area percentage %,number of persons,person area,text area %,sentiment_score_vader,time_minutes,day_numeric,width,height,language_map,type_mapped,company_map,topic_map,objects,primary object,secondary object,text,dominant colour,logos,logo 1 name,person area %,style,tone,voice,sentiment,empty space %
45.865154,0.8376553,4.58143,43.810505,25.563484,4.03,520,0.20215311,6.0,7.44586681,6.251279472,116.0,0.0,0.0,2.0,13.69714628,8.808014354,0.8979,396,5,800,418,1,1,3,1,22,12,18,30,11,0,0,2,1,1,1,2,3
15.432829,-0.615398,1.0996749,-18.866022,18.778473,0.52,74,5.311913696,7.0,57.05354806,30.33827381,0.0,0.0,0.0,3.0,113.9958849,0.0,0.6801,396,5,800,533,1,1,3,1,17,12,13,2,11,0,0,1,0,0,0,0,0
60.149616,2.0673614,14.78793,102.91035,15.730192,1.1,256,0.0,0.0,0.0,0.0,103.0,0.9375,0.0,0.0,0.0,8.055121528,0.7579,396,5,640,360,1,3,3,3,0,0,0,15,4,9,9,0,1,1,1,2,3
45.20783,0.49438325,11.508564,77.48637,7.7345786,3.07,600,1.96,5.0,11.20701272,10.52898225,264.0,0.0,0.0,2.0,21.73599497,9.37,-0.2263,396,5,800,450,1,1,5,3,59,12,18,19,7,0,0,2,0,0,0,0,3
112.4729,1.2886863,-0.37857342,155.41849,37.78705,25.6,1267,0.443181818,10.0,14.66777144,12.73078745,59.0,0.0,0.0,3.0,34.78138382,5.301435407,0.9413,396,5,800,418,1,7,6,2,41,12,18,39,8,0,0,1,1,1,1,2,3
-34.910603,2.123035,6.490424,38.28041,18.028954,4.7,208,0.0,0.0,0.0,0.0,211.0,0.0,0.0,0.0,0.0,11.50358852,0.0,396,5,800,418,1,1,4,6,0,0,0,25,18,0,0,0,1,1,1,2,3
5.246035,0.66724026,-0.2803628,54.592995,33.353836,8.24,554,0.131563246,10.0,9.319207578,9.215985755,170.0,0.795346062,0.0,7.0,46.57432738,3.081443914,0.9403,396,5,800,419,1,1,1,4,54,12,18,33,14,10,10,1,0,0,0,0,3
49.064297,-0.39676923,0.20118693,50.505875,16.554459,2.95,497,3.601190476,3.0,37.19199239,1.73071003,59.0,1.679761905,0.0,1.0,37.19199239,10.15654762,0.0,396,5,800,420,1,1,1,2,64,12,25,17,8,10,10,1,0,0,0,0,3
55.610218,0.4195499,-2.4353533,56.60073,21.456348,1.66,455,1.406698565,5.0,9.86774955,18.01001752,68.0,0.0,0.0,4.0,49.81508593,14.01255981,0.9274,396,5,800,418,1,7,6,2,52,12,18,45,7,0,0,1,0,0,0,0,3
8.336614,-0.2714843,-1.1806201,18.484537,5.5539427,0.72,94,0.466507177,4.0,7.716889276,3.962372242,81.0,1.381578947,0.0,3.0,23.94408533,5.287679426,0.8591,416,5,800,418,1,1,2,1,62,12,23,72,8,17,14,2,0,0,0,0,3
-4.5909643,0.01270222,-1.3784184,23.257368,7.2492332,0.17,13,0.0,2.0,39.71659395,70.25801659,57.0,0.0,0.0,1.0,39.71659395,4.728932584,0.0,416,5,800,534,0,7,3,4,42,12,13,82,19,0,0,1,0,0,0,0,2
70.45828,-0.16166343,6.304944,89.57894,10.944485,16.26,1005,0.0,2.0,26.98884968,4.607064756,138.0,1.541666667,0.0,0.0,0.0,6.101666667,0.4215,416,5,800,450,1,1,3,1,23,8,8,36,18,9,9,3,1,1,1,2,3
58.533825,1.9379338,4.3050895,45.135544,5.5881696,0.76,159,0.0,0.0,0.0,0.0,80.0,4.784722222,0.0,0.0,0.0,11.11024306,0.6164,416,5,640,360,1,3,3,1,0,0,0,49,22,9,9,0,0,0,0,0,3
39.54795,2.735119,6.047171,18.071033,22.155825,0.33,151,0.0,0.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0,13.07924641,0.4215,416,5,800,418,1,7,3,6,0,0,0,77,12,0,0,0,0,0,0,0,3
78.244675,0.24332064,12.558126,80.09553,13.548632,12.72,1457,0.0,3.0,10.82763124,11.41949848,146.0,0.0,0.0,0.0,0.0,1.169583333,0.2023,416,5,800,450,1,1,3,1,69,15,20,38,23,0,0,3,1,1,1,2,3
75.16677,3.1601448,19.12185,141.02094,21.41849,28.84,1663,0.0,2.0,88.4038358,3.655012641,0.0,0.0,0.0,0.0,0.0,0.0,0.9393,416,5,640,360,1,3,6,3,9,4,19,2,3,0,0,3,0,0,0,0,2
48.362946,2.331019,3.3231359,55.29138,8.122266,0.03,31,0.0,1.0,36.24284716,0.0,195.0,1.309722222,4.523333333,1.0,36.24284716,13.25472222,0.9628,427,5,800,450,1,1,1,2,31,12,0,18,8,12,10,1,0,1,2,2,3
234.99437,0.3614485,2.0764422,227.24704,62.67374,34.3,2561,0.441071429,9.0,8.95842191,6.577173111,56.0,0.811904762,5.676190476,5.0,34.16840411,17.30238095,0.9834,427,5,800,420,1,1,1,2,53,12,18,10,28,11,10,1,1,1,1,2,3
52.642532,0.40083796,3.3199031,122.15459,14.29531,21.41,858,3.131944444,4.0,20.5481508,20.66448881,124.0,0.752083333,1.421759259,2.0,41.21263961,3.909143519,0.5349,427,5,1280,675,1,3,5,3,46,12,18,47,23,15,12,1,0,0,0,0,3
19.951788,0.97150755,3.557615,66.718994,28.117258,15.09,1116,0.025208333,4.0,1.218290143,0.99163954,0.0,7.70125,0.0,2.0,2.209929683,0.0,0.0,427,5,800,600,1,1,7,1,48,12,18,2,24,1,1,3,0,0,0,0,3
34.629524,-0.8670761,-0.9454295,44.3742,9.173823,1.41,159,0.0,2.0,10.79771084,8.281362742,35.0,0.0,0.0,0.0,0.0,0.582083333,0.8516,427,5,800,450,1,7,2,2,73,18,3,6,1,0,0,3,0,1,2,2,3
65.47963,-0.13077089,3.0301576,81.03024,6.853899,2.68,214,0.0,2.0,68.17647313,21.54873038,33.0,0.750892857,0.0,1.0,68.17647313,8.675892857,0.6072,440,5,800,420,1,1,1,4,63,12,24,53,9,10,10,1,1,1,1,2,2
71.362976,106.55484,4.826108,44.860596,31.807013,6.1,246,0.0,0.0,0.0,0.0,273.0,2.992213115,0.695081967,0.0,0.0,4.413934426,0.9723,440,5,800,610,1,1,2,6,0,0,0,80,9,18,14,0,0,0,0,0,3
70.0186,1.5069772,3.8409028,31.089958,28.694418,0.02,1,0.0,0.0,0.0,0.0,215.0,3.486244019,0.0,0.0,0.0,17.46830144,0.8353,440,5,800,418,1,1,2,2,0,0,0,69,1,17,14,0,1,1,1,2,3
72.63813,1.8513955,4.263594,43.496914,19.73244,0.09,153,0.0,0.0,0.0,0.0,105.0,1.735096545,0.780190981,0.0,0.0,12.52485164,0.915,440,5,712,373,1,1,2,1,0,0,0,70,1,18,14,0,0,0,0,0,3
27.992025,2.7332895,2.8688138,38.03305,11.655791,0.41,72,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,25.20052083,0.2547,440,5,640,360,1,3,3,6,0,0,0,75,2,0,0,0,0,0,0,0,3
74.462555,0.2552111,0.48256946,95.787125,34.655388,14.26,971,3.4921875,4.0,26.33975697,1.277944795,59.0,0.0,0.0,2.0,28.24914997,9.35484375,0.6318,440,5,800,800,1,1,3,2,14,12,10,57,8,0,0,2,0,0,0,0,3
58.28613,1.3750585,3.938525,-0.43618938,18.489735,0.66,76,0.0,0.0,0.0,0.0,198.0,0.65041866,0.0,0.0,0.0,10.51255981,-0.3415,440,5,800,418,1,1,3,1,0,0,0,29,13,9,9,0,1,1,1,2,3
74.91497,-0.50186086,-0.57792324,35.11186,18.368284,7.31,375,1.1025,10.0,17.15839945,6.644713631,99.0,1.8140625,0.0,5.0,39.26523847,2.588046875,0.8658,440,5,800,800,1,1,3,1,55,12,18,60,16,9,9,1,1,1,2,2,3
25.28316,2.6559703,9.885778,61.652817,8.378884,0.95,567,0.0,1.0,29.02445334,0.0,5.0,1.090507726,0.0,0.0,0.0,0.560430464,0.7783,440,5,800,453,1,1,4,2,1,1,0,64,8,16,13,3,0,0,0,0,3
21.160814,4.1779,11.28168,236.45139,15.8926325,2.85,1012,0.0,0.0,0.0,0.0,8.0,3.605555556,0.0,0.0,0.0,2.426666667,0.7506,440,5,600,600,1,3,8,8,0,0,0,27,4,3,3,0,0,0,0,0,3
39.428738,1.6689694,3.8731713,44.44942,5.3554354,3.12,209,0.0,0.0,0.0,0.0,50.0,0.802678571,0.0,0.0,0.0,5.730654762,0.836,440,5,800,420,1,1,1,3,0,0,0,58,9,10,10,0,0,0,0,0,3
40.475994,-0.47311342,6.6306567,3.0768123,3.0524712,0.55,38,0.0,2.0,4.487709209,17.09044705,109.0,2.044557416,0.0,0.0,0.0,15.01614833,0.8934,440,5,800,418,1,1,2,2,3,2,1,71,1,17,14,3,1,1,1,2,3
49.29776,-0.025190245,0.28464872,-56.417706,10.814415,0.4,50,0.0,4.0,2.35401611,2.201167928,0.0,0.0,0.0,0.0,0.0,0.0,0.906,440,5,800,532,1,1,3,1,7,4,2,2,27,0,0,3,0,0,0,0,3
23.90342,2.370803,8.939511,-14.966539,0.9052395,0.24,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8316,440,5,100,100,1,3,3,6,0,0,0,2,0,0,0,0,0,0,0,0,3
53.652527,-0.89195704,0.25437546,41.21133,3.6517565,0.0,24,0.202951002,8.0,10.59184232,9.797395003,92.0,0.0,0.0,4.0,32.97257939,7.013780624,0.128,396,5,800,449,1,7,4,2,51,12,18,42,5,0,0,2,1,1,1,1,3
121.52633,0.9456514,11.148906,133.35114,33.57796,26.51,1940,4.125976563,3.0,22.19797071,2.394865321,0.0,0.0,0.0,1.0,22.19797071,0.0,0.0,396,5,1280,720,1,3,5,3,32,12,4,2,1,0,0,2,0,0,0,0,3
16.32368,4.252816,14.917738,93.12286,21.603924,3.89,802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9612,396,5,100,100,1,2,6,5,0,0,0,2,0,0,0,0,0,0,0,0,3
70.10243,-0.0066759633,5.228597,9.586352,3.951637,0.97,70,0.0,0.0,0.0,0.0,22.0,0.786343612,0.0,0.0,0.0,2.09003304,0.3818,396,5,800,454,1,1,3,1,0,0,0,55,8,7,7,0,0,0,0,0,3
38.819805,1.223998,13.296802,127.48136,16.98259,1.06,704,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,21.81484375,0.5994,396,5,800,800,1,7,8,2,0,0,0,4,8,0,0,0,0,0,0,0,3
39.29068,0.63359237,4.800662,13.010452,24.69186,4.94,257,0.0,0.0,0.0,0.0,47.0,2.105263158,0.0,0.0,0.0,8.136662679,0.4574,396,5,800,418,1,1,2,1,0,0,0,68,1,17,14,0,1,1,1,2,3
66.75705,-0.47038567,1.9625535,73.84525,4.3690505,0.05,12,3.210069444,4.0,39.2777914,2.742776407,105.0,0.587890625,0.0,1.0,39.2777914,6.143446181,0.6486,396,5,1280,720,1,3,1,1,18,12,11,23,8,10,10,1,0,0,0,0,3
427.04968,11.766253,31.41156,727.5786,166.59807,17.16,9394,3.322916667,1.0,38.45377196,0.0,10.0,0.394314236,0.0,1.0,38.45377196,0.431966146,0.7845,396,5,1280,720,1,3,7,1,31,12,0,5,11,1,1,1,0,0,0,0,3
135.52806,2.9287815,11.824936,184.45045,35.87595,28.95,1992,0.0,3.0,22.40757039,1.454934704,18.0,0.0,0.0,0.0,0.0,0.437948856,0.8908,396,5,634,423,1,7,5,2,75,5,28,61,6,0,0,3,0,0,0,0,3
96.60937,0.3324364,1.4176371,40.50172,11.011643,1.08,562,0.0,10.0,4.600569666,1.68579107,199.0,0.0,0.0,0.0,0.0,3.026354167,0.8271,396,5,800,600,1,7,4,2,8,4,2,83,9,0,0,3,0,0,0,0,3
63.2453,0.7967974,-3.8343475,21.169313,-1.2556212,0.02,1,0.0,1.0,58.31032396,0.0,6.0,0.0,0.0,0.0,0.0,0.048611111,0.628,396,5,800,450,1,7,2,2,67,14,0,26,9,0,0,3,0,0,0,0,3
64.04705,0.27951902,1.6033455,25.375051,21.511034,3.87,310,3.437934028,2.0,36.00704453,6.75572933,4.0,0.0,0.0,1.0,36.00704453,1.302083333,0.09,396,5,640,360,1,3,3,1,20,12,12,20,10,0,0,1,0,0,0,0,3
36.364132,0.14777881,6.9681487,112.49447,17.217468,4.06,245,0.0,5.0,3.75525038,2.228354781,171.0,0.0,0.0,0.0,0.0,9.5990625,0.9517,396,5,800,800,1,7,8,1,28,10,16,12,9,0,0,3,0,0,0,0,3
42.000774,3.3143146,14.126435,23.7315,9.955065,2.13,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7964,396,5,640,360,1,3,3,8,0,0,0,2,22,0,0,0,0,1,2,2,3
49.154156,1.5422276,-1.6393292,72.80493,1.6826887,16.18,847,0.0,1.0,28.92290086,0.0,107.0,1.5140625,0.0,0.0,0.0,8.06734375,0.628,416,5,800,800,1,1,2,2,21,7,0,73,29,17,14,3,0,0,0,0,3
54.74673,2.0651987,3.4321778,51.59838,18.270842,0.2,128,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.411388889,0.886,416,5,800,450,1,7,2,3,0,0,0,81,1,0,0,0,0,1,1,2,3
58.53342,0.026500314,3.3842933,14.238664,20.22798,0.54,124,0.0,0.0,0.0,0.0,86.0,1.744661517,0.75647433,0.0,0.0,7.253710435,0.3818,396,5,710,372,1,1,2,1,0,0,0,67,1,18,14,0,1,1,1,2,3
107.102,-0.34059954,8.842352,93.47862,26.480413,12.93,1469,0.0,3.0,20.63652717,18.46151437,0.0,0.0,0.0,0.0,0.0,0.0,0.5267,396,5,800,708,1,7,1,2,72,17,27,2,8,0,0,3,0,0,0,0,3
37.75482,5.991949,15.248567,111.36716,25.553017,25.02,1232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9524,416,5,640,360,1,3,6,8,0,0,0,2,0,0,0,0,0,0,0,0,3
55.92724,-0.3500556,1.2690899,44.156387,8.07363,0.35,26,0.444444444,7.0,16.65337186,16.33118317,7.0,0.569661458,0.0,2.0,32.98455503,0.076388889,0.8934,416,5,1280,720,1,3,1,2,29,12,18,21,11,10,10,2,0,0,0,0,3
-2.5065007,0.033885315,0.4440156,12.019096,14.289993,3.92,181,4.876736111,2.0,30.88595791,15.52615122,8.0,0.0,0.0,1.0,30.88595791,2.640625,0.6288,396,5,640,360,1,3,3,6,34,12,6,52,4,0,0,2,0,0,0,0,3
55.857574,0.709168,0.88565683,7.178938,4.7771816,3.41,273,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.058333333,0.0516,416,5,800,450,0,7,3,1,0,0,0,35,16,0,0,0,0,0,0,0,3
6.053119,-0.34764057,-1.0283873,-26.165154,7.3373084,6.66,295,2.006944444,3.0,24.56324758,14.2294983,0.0,0.0,0.0,2.0,47.08222918,0.0,0.4374,416,5,640,360,1,3,3,6,38,12,7,2,4,0,0,1,0,0,0,0,3
19.69155,0.060901828,0.32138127,-30.92517,5.861991,1.07,90,1.75,3.0,27.97765724,22.54591648,0.0,0.0,0.0,1.0,27.97765724,0.0,0.4389,416,5,640,360,1,3,3,1,26,12,15,2,8,0,0,2,0,0,0,0,3
